trial_id,word,condition,reality,category,trial_n,prompt
r00200,borthorpunius,neutral,,,0,Describe a borthorpunius.
r00201,borthorpunius,neutral,,,1,Describe a borthorpunius.
r00202,borthorpunius,neutral,,,2,Describe a borthorpunius.
r00203,borthorpunius,neutral,,,3,Describe a borthorpunius.
r00204,borthorpunius,neutral,,,4,Describe a borthorpunius.
r00205,borthorpunius,neutral,,,5,Describe a borthorpunius.
r00206,borthorpunius,neutral,,,6,Describe a borthorpunius.
r00207,borthorpunius,neutral,,,7,Describe a borthorpunius.
r00208,borthorpunius,neutral,,,8,Describe a borthorpunius.
r00209,borthorpunius,neutral,,,9,Describe a borthorpunius.
r00400,flembrast,neutral,,,0,Describe a flembrast.
r00401,flembrast,neutral,,,1,Describe a flembrast.
r00402,flembrast,neutral,,,2,Describe a flembrast.
r00403,flembrast,neutral,,,3,Describe a flembrast.
r00404,flembrast,neutral,,,4,Describe a flembrast.
r00405,flembrast,neutral,,,5,Describe a flembrast.
r00406,flembrast,neutral,,,6,Describe a flembrast.
r00407,flembrast,neutral,,,7,Describe a flembrast.
r00408,flembrast,neutral,,,8,Describe a flembrast.
r00409,flembrast,neutral,,,9,Describe a flembrast.
r00000,halthibinny,neutral,,,0,Describe a halthibinny.
r00001,halthibinny,neutral,,,1,Describe a halthibinny.
r00002,halthibinny,neutral,,,2,Describe a halthibinny.
r00003,halthibinny,neutral,,,3,Describe a halthibinny.
r00004,halthibinny,neutral,,,4,Describe a halthibinny.
r00005,halthibinny,neutral,,,5,Describe a halthibinny.
r00006,halthibinny,neutral,,,6,Describe a halthibinny.
r00007,halthibinny,neutral,,,7,Describe a halthibinny.
r00008,halthibinny,neutral,,,8,Describe a halthibinny.
r00009,halthibinny,neutral,,,9,Describe a halthibinny.
r00600,kovashent,neutral,,,0,Describe a kovashent.
r00601,kovashent,neutral,,,1,Describe a kovashent.
r00602,kovashent,neutral,,,2,Describe a kovashent.
r00603,kovashent,neutral,,,3,Describe a kovashent.
r00604,kovashent,neutral,,,4,Describe a kovashent.
r00605,kovashent,neutral,,,5,Describe a kovashent.
r00606,kovashent,neutral,,,6,Describe a kovashent.
r00607,kovashent,neutral,,,7,Describe a kovashent.
r00608,kovashent,neutral,,,8,Describe a kovashent.
r00609,kovashent,neutral,,,9,Describe a kovashent.
r00700,plindorf,neutral,,,0,Describe a plindorf.
r00701,plindorf,neutral,,,1,Describe a plindorf.
r00702,plindorf,neutral,,,2,Describe a plindorf.
r00703,plindorf,neutral,,,3,Describe a plindorf.
r00704,plindorf,neutral,,,4,Describe a plindorf.
r00705,plindorf,neutral,,,5,Describe a plindorf.
r00706,plindorf,neutral,,,6,Describe a plindorf.
r00707,plindorf,neutral,,,7,Describe a plindorf.
r00708,plindorf,neutral,,,8,Describe a plindorf.
r00709,plindorf,neutral,,,9,Describe a plindorf.
r00100,purtaneolotomous,neutral,,,0,Describe a purtaneolotomous.
r00101,purtaneolotomous,neutral,,,1,Describe a purtaneolotomous.
r00102,purtaneolotomous,neutral,,,2,Describe a purtaneolotomous.
r00103,purtaneolotomous,neutral,,,3,Describe a purtaneolotomous.
r00104,purtaneolotomous,neutral,,,4,Describe a purtaneolotomous.
r00105,purtaneolotomous,neutral,,,5,Describe a purtaneolotomous.
r00106,purtaneolotomous,neutral,,,6,Describe a purtaneolotomous.
r00107,purtaneolotomous,neutral,,,7,Describe a purtaneolotomous.
r00108,purtaneolotomous,neutral,,,8,Describe a purtaneolotomous.
r00109,purtaneolotomous,neutral,,,9,Describe a purtaneolotomous.
r00500,trolnique,neutral,,,0,Describe a trolnique.
r00501,trolnique,neutral,,,1,Describe a trolnique.
r00502,trolnique,neutral,,,2,Describe a trolnique.
r00503,trolnique,neutral,,,3,Describe a trolnique.
r00504,trolnique,neutral,,,4,Describe a trolnique.
r00505,trolnique,neutral,,,5,Describe a trolnique.
r00506,trolnique,neutral,,,6,Describe a trolnique.
r00507,trolnique,neutral,,,7,Describe a trolnique.
r00508,trolnique,neutral,,,8,Describe a trolnique.
r00509,trolnique,neutral,,,9,Describe a trolnique.
r00300,wresanthamulf,neutral,,,0,Describe a wresanthamulf.
r00301,wresanthamulf,neutral,,,1,Describe a wresanthamulf.
r00302,wresanthamulf,neutral,,,2,Describe a wresanthamulf.
r00303,wresanthamulf,neutral,,,3,Describe a wresanthamulf.
r00304,wresanthamulf,neutral,,,4,Describe a wresanthamulf.
r00305,wresanthamulf,neutral,,,5,Describe a wresanthamulf.
r00306,wresanthamulf,neutral,,,6,Describe a wresanthamulf.
r00307,wresanthamulf,neutral,,,7,Describe a wresanthamulf.
r00308,wresanthamulf,neutral,,,8,Describe a wresanthamulf.
r00309,wresanthamulf,neutral,,,9,Describe a wresanthamulf.
r00210,borthorpunius,real_animal,real,animal,0,Describe a borthorpunius. It is a real animal.
r00211,borthorpunius,real_animal,real,animal,1,Describe a borthorpunius. It is a real animal.
r00212,borthorpunius,real_animal,real,animal,2,Describe a borthorpunius. It is a real animal.
r00213,borthorpunius,real_animal,real,animal,3,Describe a borthorpunius. It is a real animal.
r00214,borthorpunius,real_animal,real,animal,4,Describe a borthorpunius. It is a real animal.
r00215,borthorpunius,real_animal,real,animal,5,Describe a borthorpunius. It is a real animal.
r00216,borthorpunius,real_animal,real,animal,6,Describe a borthorpunius. It is a real animal.
r00217,borthorpunius,real_animal,real,animal,7,Describe a borthorpunius. It is a real animal.
r00218,borthorpunius,real_animal,real,animal,8,Describe a borthorpunius. It is a real animal.
r00219,borthorpunius,real_animal,real,animal,9,Describe a borthorpunius. It is a real animal.
r00410,flembrast,real_animal,real,animal,0,Describe a flembrast. It is a real animal.
r00411,flembrast,real_animal,real,animal,1,Describe a flembrast. It is a real animal.
r00412,flembrast,real_animal,real,animal,2,Describe a flembrast. It is a real animal.
r00413,flembrast,real_animal,real,animal,3,Describe a flembrast. It is a real animal.
r00414,flembrast,real_animal,real,animal,4,Describe a flembrast. It is a real animal.
r00415,flembrast,real_animal,real,animal,5,Describe a flembrast. It is a real animal.
r00416,flembrast,real_animal,real,animal,6,Describe a flembrast. It is a real animal.
r00417,flembrast,real_animal,real,animal,7,Describe a flembrast. It is a real animal.
r00418,flembrast,real_animal,real,animal,8,Describe a flembrast. It is a real animal.
r00419,flembrast,real_animal,real,animal,9,Describe a flembrast. It is a real animal.
r00010,halthibinny,real_animal,real,animal,0,Describe a halthibinny. It is a real animal.
r00011,halthibinny,real_animal,real,animal,1,Describe a halthibinny. It is a real animal.
r00012,halthibinny,real_animal,real,animal,2,Describe a halthibinny. It is a real animal.
r00013,halthibinny,real_animal,real,animal,3,Describe a halthibinny. It is a real animal.
r00014,halthibinny,real_animal,real,animal,4,Describe a halthibinny. It is a real animal.
r00015,halthibinny,real_animal,real,animal,5,Describe a halthibinny. It is a real animal.
r00016,halthibinny,real_animal,real,animal,6,Describe a halthibinny. It is a real animal.
r00017,halthibinny,real_animal,real,animal,7,Describe a halthibinny. It is a real animal.
r00018,halthibinny,real_animal,real,animal,8,Describe a halthibinny. It is a real animal.
r00019,halthibinny,real_animal,real,animal,9,Describe a halthibinny. It is a real animal.
r00610,kovashent,real_animal,real,animal,0,Describe a kovashent. It is a real animal.
r00611,kovashent,real_animal,real,animal,1,Describe a kovashent. It is a real animal.
r00612,kovashent,real_animal,real,animal,2,Describe a kovashent. It is a real animal.
r00613,kovashent,real_animal,real,animal,3,Describe a kovashent. It is a real animal.
r00614,kovashent,real_animal,real,animal,4,Describe a kovashent. It is a real animal.
r00615,kovashent,real_animal,real,animal,5,Describe a kovashent. It is a real animal.
r00616,kovashent,real_animal,real,animal,6,Describe a kovashent. It is a real animal.
r00617,kovashent,real_animal,real,animal,7,Describe a kovashent. It is a real animal.
r00618,kovashent,real_animal,real,animal,8,Describe a kovashent. It is a real animal.
r00619,kovashent,real_animal,real,animal,9,Describe a kovashent. It is a real animal.
r00710,plindorf,real_animal,real,animal,0,Describe a plindorf. It is a real animal.
r00711,plindorf,real_animal,real,animal,1,Describe a plindorf. It is a real animal.
r00712,plindorf,real_animal,real,animal,2,Describe a plindorf. It is a real animal.
r00713,plindorf,real_animal,real,animal,3,Describe a plindorf. It is a real animal.
r00714,plindorf,real_animal,real,animal,4,Describe a plindorf. It is a real animal.
r00715,plindorf,real_animal,real,animal,5,Describe a plindorf. It is a real animal.
r00716,plindorf,real_animal,real,animal,6,Describe a plindorf. It is a real animal.
r00717,plindorf,real_animal,real,animal,7,Describe a plindorf. It is a real animal.
r00718,plindorf,real_animal,real,animal,8,Describe a plindorf. It is a real animal.
r00719,plindorf,real_animal,real,animal,9,Describe a plindorf. It is a real animal.
r00110,purtaneolotomous,real_animal,real,animal,0,Describe a purtaneolotomous. It is a real animal.
r00111,purtaneolotomous,real_animal,real,animal,1,Describe a purtaneolotomous. It is a real animal.
r00112,purtaneolotomous,real_animal,real,animal,2,Describe a purtaneolotomous. It is a real animal.
r00113,purtaneolotomous,real_animal,real,animal,3,Describe a purtaneolotomous. It is a real animal.
r00114,purtaneolotomous,real_animal,real,animal,4,Describe a purtaneolotomous. It is a real animal.
r00115,purtaneolotomous,real_animal,real,animal,5,Describe a purtaneolotomous. It is a real animal.
r00116,purtaneolotomous,real_animal,real,animal,6,Describe a purtaneolotomous. It is a real animal.
r00117,purtaneolotomous,real_animal,real,animal,7,Describe a purtaneolotomous. It is a real animal.
r00118,purtaneolotomous,real_animal,real,animal,8,Describe a purtaneolotomous. It is a real animal.
r00119,purtaneolotomous,real_animal,real,animal,9,Describe a purtaneolotomous. It is a real animal.
r00510,trolnique,real_animal,real,animal,0,Describe a trolnique. It is a real animal.
r00511,trolnique,real_animal,real,animal,1,Describe a trolnique. It is a real animal.
r00512,trolnique,real_animal,real,animal,2,Describe a trolnique. It is a real animal.
r00513,trolnique,real_animal,real,animal,3,Describe a trolnique. It is a real animal.
r00514,trolnique,real_animal,real,animal,4,Describe a trolnique. It is a real animal.
r00515,trolnique,real_animal,real,animal,5,Describe a trolnique. It is a real animal.
r00516,trolnique,real_animal,real,animal,6,Describe a trolnique. It is a real animal.
r00517,trolnique,real_animal,real,animal,7,Describe a trolnique. It is a real animal.
r00518,trolnique,real_animal,real,animal,8,Describe a trolnique. It is a real animal.
r00519,trolnique,real_animal,real,animal,9,Describe a trolnique. It is a real animal.
r00310,wresanthamulf,real_animal,real,animal,0,Describe a wresanthamulf. It is a real animal.
r00311,wresanthamulf,real_animal,real,animal,1,Describe a wresanthamulf. It is a real animal.
r00312,wresanthamulf,real_animal,real,animal,2,Describe a wresanthamulf. It is a real animal.
r00313,wresanthamulf,real_animal,real,animal,3,Describe a wresanthamulf. It is a real animal.
r00314,wresanthamulf,real_animal,real,animal,4,Describe a wresanthamulf. It is a real animal.
r00315,wresanthamulf,real_animal,real,animal,5,Describe a wresanthamulf. It is a real animal.
r00316,wresanthamulf,real_animal,real,animal,6,Describe a wresanthamulf. It is a real animal.
r00317,wresanthamulf,real_animal,real,animal,7,Describe a wresanthamulf. It is a real animal.
r00318,wresanthamulf,real_animal,real,animal,8,Describe a wresanthamulf. It is a real animal.
r00319,wresanthamulf,real_animal,real,animal,9,Describe a wresanthamulf. It is a real animal.
r00220,borthorpunius,real_object,real,object,0,Describe a borthorpunius. It is a real object.
r00221,borthorpunius,real_object,real,object,1,Describe a borthorpunius. It is a real object.
r00222,borthorpunius,real_object,real,object,2,Describe a borthorpunius. It is a real object.
r00223,borthorpunius,real_object,real,object,3,Describe a borthorpunius. It is a real object.
r00224,borthorpunius,real_object,real,object,4,Describe a borthorpunius. It is a real object.
r00225,borthorpunius,real_object,real,object,5,Describe a borthorpunius. It is a real object.
r00226,borthorpunius,real_object,real,object,6,Describe a borthorpunius. It is a real object.
r00227,borthorpunius,real_object,real,object,7,Describe a borthorpunius. It is a real object.
r00228,borthorpunius,real_object,real,object,8,Describe a borthorpunius. It is a real object.
r00229,borthorpunius,real_object,real,object,9,Describe a borthorpunius. It is a real object.
r00420,flembrast,real_object,real,object,0,Describe a flembrast. It is a real object.
r00421,flembrast,real_object,real,object,1,Describe a flembrast. It is a real object.
r00422,flembrast,real_object,real,object,2,Describe a flembrast. It is a real object.
r00423,flembrast,real_object,real,object,3,Describe a flembrast. It is a real object.
r00424,flembrast,real_object,real,object,4,Describe a flembrast. It is a real object.
r00425,flembrast,real_object,real,object,5,Describe a flembrast. It is a real object.
r00426,flembrast,real_object,real,object,6,Describe a flembrast. It is a real object.
r00427,flembrast,real_object,real,object,7,Describe a flembrast. It is a real object.
r00428,flembrast,real_object,real,object,8,Describe a flembrast. It is a real object.
r00429,flembrast,real_object,real,object,9,Describe a flembrast. It is a real object.
r00020,halthibinny,real_object,real,object,0,Describe a halthibinny. It is a real object.
r00021,halthibinny,real_object,real,object,1,Describe a halthibinny. It is a real object.
r00022,halthibinny,real_object,real,object,2,Describe a halthibinny. It is a real object.
r00023,halthibinny,real_object,real,object,3,Describe a halthibinny. It is a real object.
r00024,halthibinny,real_object,real,object,4,Describe a halthibinny. It is a real object.
r00025,halthibinny,real_object,real,object,5,Describe a halthibinny. It is a real object.
r00026,halthibinny,real_object,real,object,6,Describe a halthibinny. It is a real object.
r00027,halthibinny,real_object,real,object,7,Describe a halthibinny. It is a real object.
r00028,halthibinny,real_object,real,object,8,Describe a halthibinny. It is a real object.
r00029,halthibinny,real_object,real,object,9,Describe a halthibinny. It is a real object.
r00620,kovashent,real_object,real,object,0,Describe a kovashent. It is a real object.
r00621,kovashent,real_object,real,object,1,Describe a kovashent. It is a real object.
r00622,kovashent,real_object,real,object,2,Describe a kovashent. It is a real object.
r00623,kovashent,real_object,real,object,3,Describe a kovashent. It is a real object.
r00624,kovashent,real_object,real,object,4,Describe a kovashent. It is a real object.
r00625,kovashent,real_object,real,object,5,Describe a kovashent. It is a real object.
r00626,kovashent,real_object,real,object,6,Describe a kovashent. It is a real object.
r00627,kovashent,real_object,real,object,7,Describe a kovashent. It is a real object.
r00628,kovashent,real_object,real,object,8,Describe a kovashent. It is a real object.
r00629,kovashent,real_object,real,object,9,Describe a kovashent. It is a real object.
r00720,plindorf,real_object,real,object,0,Describe a plindorf. It is a real object.
r00721,plindorf,real_object,real,object,1,Describe a plindorf. It is a real object.
r00722,plindorf,real_object,real,object,2,Describe a plindorf. It is a real object.
r00723,plindorf,real_object,real,object,3,Describe a plindorf. It is a real object.
r00724,plindorf,real_object,real,object,4,Describe a plindorf. It is a real object.
r00725,plindorf,real_object,real,object,5,Describe a plindorf. It is a real object.
r00726,plindorf,real_object,real,object,6,Describe a plindorf. It is a real object.
r00727,plindorf,real_object,real,object,7,Describe a plindorf. It is a real object.
r00728,plindorf,real_object,real,object,8,Describe a plindorf. It is a real object.
r00729,plindorf,real_object,real,object,9,Describe a plindorf. It is a real object.
r00120,purtaneolotomous,real_object,real,object,0,Describe a purtaneolotomous. It is a real object.
r00121,purtaneolotomous,real_object,real,object,1,Describe a purtaneolotomous. It is a real object.
r00122,purtaneolotomous,real_object,real,object,2,Describe a purtaneolotomous. It is a real object.
r00123,purtaneolotomous,real_object,real,object,3,Describe a purtaneolotomous. It is a real object.
r00124,purtaneolotomous,real_object,real,object,4,Describe a purtaneolotomous. It is a real object.
r00125,purtaneolotomous,real_object,real,object,5,Describe a purtaneolotomous. It is a real object.
r00126,purtaneolotomous,real_object,real,object,6,Describe a purtaneolotomous. It is a real object.
r00127,purtaneolotomous,real_object,real,object,7,Describe a purtaneolotomous. It is a real object.
r00128,purtaneolotomous,real_object,real,object,8,Describe a purtaneolotomous. It is a real object.
r00129,purtaneolotomous,real_object,real,object,9,Describe a purtaneolotomous. It is a real object.
r00520,trolnique,real_object,real,object,0,Describe a trolnique. It is a real object.
r00521,trolnique,real_object,real,object,1,Describe a trolnique. It is a real object.
r00522,trolnique,real_object,real,object,2,Describe a trolnique. It is a real object.
r00523,trolnique,real_object,real,object,3,Describe a trolnique. It is a real object.
r00524,trolnique,real_object,real,object,4,Describe a trolnique. It is a real object.
r00525,trolnique,real_object,real,object,5,Describe a trolnique. It is a real object.
r00526,trolnique,real_object,real,object,6,Describe a trolnique. It is a real object.
r00527,trolnique,real_object,real,object,7,Describe a trolnique. It is a real object.
r00528,trolnique,real_object,real,object,8,Describe a trolnique. It is a real object.
r00529,trolnique,real_object,real,object,9,Describe a trolnique. It is a real object.
r00320,wresanthamulf,real_object,real,object,0,Describe a wresanthamulf. It is a real object.
r00321,wresanthamulf,real_object,real,object,1,Describe a wresanthamulf. It is a real object.
r00322,wresanthamulf,real_object,real,object,2,Describe a wresanthamulf. It is a real object.
